16:48:15                       Starting Install Tracker service...
16:48:15                       Service version: 0x105
16:48:15                       Starting 'Avira Phantom VPN 2.37.4.17510.exe'...
16:48:15                       Installation monitor started
16:48:15    Create Folder      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-G4ON8.tmp
16:48:15    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-G4ON8.tmp\Avira Phantom VPN 2.37.4.17510.tmp
16:48:15    Process Created    C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-G4ON8.tmp\Avira Phantom VPN 2.37.4.17510.tmp
16:48:16    Create Folder      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp
16:48:16    Create Folder      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\_isetup
16:48:16    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\_isetup\_RegDLL.tmp
16:48:16    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\_isetup\_setup64.tmp
16:48:16    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\_isetup\_shfoldr.dll
16:48:16    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\ISTask.dll
16:48:16    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\VclStylesInno.dll
16:48:16    Process Created    C:\Windows\SysWOW64\net.exe
16:48:16    Process Created    C:\Windows\System32\conhost.exe
16:48:16    Process Created    C:\Windows\SysWOW64\net1.exe
16:48:21    Process Killed     C:\Windows\SysWOW64\net1.exe
16:48:21    Process Killed     C:\Windows\SysWOW64\net.exe
16:48:21    Process Killed     C:\Windows\System32\conhost.exe
16:48:21    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\MetroBlue.vsf
16:48:23    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\WizardForm.BitmapImage1.bmp
16:48:43    Create Folder      C:\Program Files (x86)\Avira
16:48:43    Create Folder      C:\Program Files (x86)\Avira\VPN
16:48:43    Create Folder      C:\ProgramData\Avira
16:48:43    Create Folder      C:\ProgramData\Avira\VPN
16:48:43    Create File        C:\Program Files (x86)\Avira\VPN\unins000.dat
16:48:43    Create File        C:\Program Files (x86)\Avira\VPN\is-RV45F.tmp
16:48:43    Rename File        C:\Program Files (x86)\Avira\VPN\unins000.exe
16:48:43    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\is-TPRNI.tmp
16:48:44    Rename File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\syspin.exe
16:48:44    Create File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\is-MSPB6.tmp
16:48:44    Rename File        C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-DPL6N.tmp\syspin.exe
16:48:44    Create File        C:\Program Files (x86)\Avira\VPN\is-OUSBM.tmp
16:48:44    Rename File        C:\Program Files (x86)\Avira\VPN\Avira.WebAppHost.exe
16:48:44    Create File        C:\Program Files (x86)\Avira\VPN\is-BGU5B.tmp
16:48:44    Rename File        C:\Program Files (x86)\Avira\VPN\Avira.Acp.Common.dll
16:48:44    Create File        C:\Program Files (x86)\Avira\VPN\is-FGCPU.tmp
16:48:44    Rename File        C:\Program Files (x86)\Avira\VPN\Avira.Acp.dll
16:48:44    Create File        C:\Program Files (x86)\Avira\VPN\is-53Q65.tmp
16:48:44    Rename File        C:\Program Files (x86)\Avira\VPN\Avira.Acp.Resources.dll
16:48:44    Create File        C:\Program Files (x86)\Avira\VPN\is-N0PTE.tmp
16:48:44    Rename File        C:\Program Files (x86)\Avira\VPN\Avira.Common.Acp.AppClient.dll
